feature,importance
Revenue_diff_1,814
Revenue_mom_ratio,674
Revenue_yoy_ratio,659
COGS_spike_28,646
Revenue_lag_7,645
Revenue_lag_1,605
Revenue_wow_ratio,592
dayofmonth,574
COGS_spike_7,559
fourier_cos_3,553
rev_dom_mean,544
COGS_lag_7,543
Revenue_momentum,524
COGS_lag_90,524
Revenue_lag_365,521
Revenue_diff_7,512
rev_month_dow_mean,502
COGS_lag_365,500
Revenue_spike_7,499
COGS_lag_14,482
COGS_lag_28,480
Revenue_lag_14,480
Revenue_lag_60,460
COGS_lag_21,450
Revenue_lag_90,441
COGS_lag_3,435
Revenue_lag_28,420
COGS_cv_7,419
Revenue_yoy_growth,417
Revenue_lag_21,416
Revenue_cv_7,411
Revenue_lag_180,411
COGS_lag_180,391
Revenue_spike_28,385
Revenue_lag_3,385
fourier_cos_5,384
Revenue_rstd_7,382
COGS_lag_60,376
Revenue_lag_2,370
fourier_sin_3,361
COGS_lag_2,347
fourier_sin_5,330
COGS_lag_1,325
COGS_rstd_7,293
fourier_sin_4,285
dayofyear_sin,275
inv_stockout_rate,261
COGS_rstd_14,243
fourier_cos_4,242
Revenue_rstd_14,239
fourier_sin_2,228
Revenue_rstd_60,228
COGS_rstd_28,225
inv_fill_rate,225
rev_month_dow_detr,222
COGS_rmedian_7,219
Revenue_rmedian_365,219
Revenue_rstd_365,215
trend,210
Revenue_rstd_28,203
COGS_rmean_14,195
Revenue_rmean_365,193
COGS_rmean_7,188
inv_stock_on_hand,188
Revenue_rmean_7,186
rev_woy_mean,185
Revenue_rmin_7,183
rev_woy_std,179
COGS_rmin_7,178
avg_cancel_rate_dow,177
Revenue_rmin_14,176
days_from_tet,173
COGS_rmedian_14,172
inv_days_of_supply,168
avg_credit_card_dow,166
COGS_rmean_28,163
fourier_cos_2,161
Revenue_rmedian_7,156
Revenue_rstd_180,155
COGS_rmin_14,144
Revenue_rmean_180,142
avg_returns_dow,139
dayofweek_sin,139
dayofweek_cos,139
inv_sell_through,137
avg_promo_pen_dow,136
COGS_rstd_90,136
Revenue_rmedian_14,135
dayofweek,135
Revenue_rmean_14,134
Revenue_rmax_14,132
Revenue_rstd_90,127
dayofyear_cos,125
COGS_rmax_14,125
COGS_rmedian_28,122
Revenue_rmin_60,119
Revenue_rmin_365,119
cogs_dom_mean,118
COGS_rmax_7,118
COGS_rmin_28,116
Revenue_rmax_7,115
Revenue_rmedian_180,114
Revenue_rmin_180,114
Revenue_rmean_28,112
dayofyear,109
rev_dow_mean,104
rev_dow_std,101
Revenue_rmin_90,98
avg_sessions_dow,96
avg_paid_search_dow,92
Revenue_rmin_28,92
promo_max_discount,91
Revenue_rmedian_28,88
Revenue_rmean_90,85
COGS_rmean_90,85
cogs_woy_mean,85
Revenue_rmean_60,79
COGS_rmin_90,73
COGS_rmedian_90,72
Revenue_rmax_90,69
COGS_rmax_28,68
Revenue_rmedian_60,66
rev_dow_median,64
Revenue_rmax_180,63
COGS_rmax_90,63
Revenue_rmedian_90,59
Revenue_rmax_28,56
fourier_sin_1,50
Revenue_rmax_60,47
avg_mobile_dow,34
avg_visitors_dow,32
Revenue_rmax_365,32
fourier_cos_1,31
avg_paid_search_month,30
avg_credit_card_month,29
weekofyear,29
avg_bounce_month,28
avg_cancel_rate_month,26
year,24
promo_sum_discount,23
cat_share_Casual,22
avg_refund_month,20
avg_discount_month,20
promo_active_cnt,19
rev_month_std,16
avg_mobile_month,15
avg_promo_pen_month,15
avg_stockout_rate_month,14
promo_ch_in_store,10
cogs_dow_recent,10
rev_month_mean,10
avg_fill_rate_month,9
cat_share_GenZ,8
month_sin,8
month_cos,7
avg_orders_month,7
cogs_month_mean,7
avg_returns_month,6
cat_share_Streetwear,5
is_tet_week,5
is_month_start,5
promo_is_percentage,4
cogs_dow_mean,4
is_vn_holiday,4
covid_flag,3
is_month_end,3
is_tet_month,3
is_quarter_end,2
rev_month_recent,2
promo_ch_online,2
avg_orders_dow,1
is_xmas_week,1
is_black_friday_week,1
is_weekend,1
quarter,1
cat_share_Outdoor,1
avg_sessions_month,1
avg_units_month,1
rev_dow_detr,1
promo_is_fixed,1
promo_ch_all_channels,1
rev_dow_recent,1
is_year_start,0
is_quarter_start,0
is_year_end,0
is_double_day,0
month,0
promo_ch_email,0
promo_is_active,0
promo_ch_social_media,0
rev_month_detr,0
rev_qtr_mean,0
cogs_qtr_mean,0
rev_month_median,0
avg_units_dow,0
avg_discount_dow,0
cogs_month_recent,0
avg_sell_through_month,0
