method,folds,mean_mae,std_mae,mean_rmse,mean_r2,mean_delta_vs_baseline,median_features
baseline_plus_orders_payments_lags,5,630954.3237819585,128449.6054812343,882644.6335351914,0.7700776104317273,-3625.366028174176,124.0
baseline_plus_promo_interactions,5,631013.3144297714,146838.9186672336,865505.7993231185,0.7759377005224413,-3566.3753803613827,124.0
baseline_plus_shipments_lags,5,631603.9980227936,137893.94909946038,872861.3264320812,0.7769412592250966,-2975.6917873391767,120.0
baseline_autoreg,5,634579.6898101327,143541.26979318607,874382.4265013428,0.7703694290878429,0.0,112.0
baseline_plus_returns_lags,5,636324.3536679406,142800.87495097317,882076.237615715,0.7659747840447363,1744.663857807836,124.0
baseline_plus_promo_known_future,5,638413.1196422891,150216.50831332593,874817.0901952958,0.7716020666617587,3833.4298321564797,118.0
baseline_plus_recency_profiles,5,643794.6115097795,156382.07317120145,891149.258536815,0.7595403990830196,9214.921699646755,116.0
baseline_plus_all_aux_lags,5,644361.7574590377,145453.83924857024,898218.3349613782,0.7628405335334724,9782.067648905062,164.0
baseline_plus_web_lags,5,648870.1887488728,154015.07286900483,894830.296784499,0.7594475380477468,14290.49893874015,132.0
baseline_plus_std_profiles,5,652011.6126212683,172986.47309977366,897581.2601576777,0.7533713064037606,17431.922811135497,116.0
baseline_plus_promo_inter_std_profiles,5,659769.6951743171,184748.46706320276,904304.2854849888,0.7459935172174614,25190.00536418428,128.0
kitchen_sink_recency,5,661200.809435393,157988.11215036112,911367.0593423486,0.7504738244708585,26621.11962526024,180.0
baseline_plus_promo_std_profiles,5,674944.2378149052,202399.19971917162,929948.206696403,0.7261753121620331,40364.54800477247,122.0
