step,elapsed_sec,valid_0_l1,valid_1_l1
0,4.1,0.44831660988498384,0.6952552537581266
50,4.6,0.1690457330187144,0.24206644032284805
100,5.1,0.11401079229838879,0.2136107342036237
150,5.5,0.09489724108279875,0.2091143375911472
200,5.8,0.08570275593584176,0.20647360519981342
250,6.1,0.07952259096338428,0.2047843749409178
300,6.3,0.07374670860018367,0.2037386352814627
350,6.6,0.06837705594204384,0.2030069657131805
400,6.8,0.06317343254591186,0.20275680291256484
450,7.1,0.058915249795535245,0.2024158421721806
500,7.4,0.05377567699716016,0.2015692635241304
550,7.6,0.049409378148559495,0.2004831970692662
600,7.9,0.045260924721915036,0.20000712854651145
650,8.2,0.041635297129548776,0.19969101759662383
700,8.5,0.038591484670513515,0.1993812298594819
750,8.8,0.035391300763372546,0.19892703114718263
800,9.1,0.032551998426294006,0.19894308516152756
850,9.5,0.029724116236756488,0.1990251700733689
900,9.8,0.027334854129932633,0.19899859894368385
