method,feature,mean_importance
core_plus_promo_interactions,Revenue_lag_1,732.6
core_plus_promo_interactions,dayofmonth,732.6
core_plus_promo_interactions,Revenue_diff_1,672.4
core_plus_promo_interactions,Revenue_yoy_ratio,649.0
core_plus_promo_interactions,COGS_lag_365,628.0
core_plus_promo_interactions,Revenue_lag_365,619.6
core_plus_promo_interactions,Revenue_lag_7,619.0
core_plus_promo_interactions,rev_over_cogs_lag1,581.8
core_plus_promo_interactions,Revenue_mom_ratio,564.8
core_plus_promo_interactions,Revenue_wow_ratio,534.2
core_plus_promo_interactions,fourier_cos_3,507.2
core_plus_promo_interactions,COGS_lag_7,491.2
core_plus_promo_interactions,COGS_lag_90,487.0
core_plus_promo_interactions,rev_over_cogs_lag7,486.2
core_plus_promo_interactions,Revenue_lag_28,476.4
core_plus_promo_interactions,COGS_lag_28,473.4
core_plus_promo_interactions,COGS_lag_1,469.6
core_plus_promo_interactions,Revenue_lag_60,465.2
core_plus_promo_interactions,Revenue_momentum,465.0
core_plus_promo_interactions,Revenue_lag_90,452.8
core_plus_promo_interactions,Revenue_lag_180,451.0
core_plus_promo_interactions,COGS_lag_60,449.6
core_plus_promo_interactions,Revenue_diff_7,446.4
core_plus_promo_interactions,COGS_lag_14,444.8
core_plus_promo_interactions,Revenue_lag_14,444.4
core_plus_promo_interactions,Revenue_lag_21,402.8
core_plus_promo_interactions,COGS_lag_3,380.6
core_plus_promo_interactions,COGS_lag_21,372.8
core_plus_promo_interactions,Revenue_lag_3,364.4
core_plus_promo_interactions,Revenue_lag_2,358.4
core_plus_promo_interactions,COGS_lag_180,354.8
core_plus_promo_interactions,fourier_sin_3,354.6
core_plus_promo_interactions,COGS_rstd_7,350.0
core_plus_promo_interactions,Revenue_rstd_7,345.0
core_plus_promo_interactions,COGS_lag_2,341.2
core_plus_promo_interactions,dayofweek,324.2
core_plus_promo_interactions,fourier_sin_5,321.4
core_plus_promo_interactions,fourier_cos_5,297.8
core_plus_promo_interactions,fourier_sin_4,279.6
core_plus_promo_interactions,dayofweek_sin,259.8
