fold,hypothesis,score,revenue_mae,cogs_mae,bias_rev_pct,bias_cogs_pct,n_train
fold_2020,H0_baseline,1000097.6504074452,764341.7514329815,589389.7474361592,15.913470001616048,16.766623210922017,2737
fold_2021,H0_baseline,795373.402165818,582649.7967050943,531809.0136518094,-0.9002383471108155,6.934711739120725,3103
fold_2022,H0_baseline,894727.0865545092,672556.1016559175,555427.4622464795,-10.735462963406473,1.538056141737143,3468
fold_2020,H1_train_2017plus,1045688.9480385041,745309.874883582,750947.6828873053,3.051794281912823,24.112785188560014,1095
fold_2021,H1_train_2017plus,941544.4370814064,731169.8802937221,525936.3919692104,10.396749336436994,7.8968522689683684,1461
fold_2022,H1_train_2017plus,865772.6393921345,653772.4982895848,530000.3527563742,-10.75022884392598,0.06268919156853237,1826
fold_2020,H2_time_trend,1032424.0596959445,798361.3907264487,585156.6724237395,18.669263169587126,17.304457074710243,2737
fold_2021,H2_time_trend,795671.2981143497,563223.6072460866,581119.2271706578,-0.5090038372541072,12.832378801711307,3103
fold_2022,H2_time_trend,886610.5713578505,663501.3452665649,557773.0652282139,-10.750941183761464,6.857449823709683,3468
fold_2020,H3_weight_hl365,959695.2112843825,740199.6075676221,548739.009291901,-13.933606804085297,6.75671294709026,2737
fold_2021,H3_weight_hl365,846676.5538258803,642348.618951779,510819.83718525333,-12.860588093600711,-9.361567032241469,3103
fold_2022,H3_weight_hl365,930916.8906470137,705005.9188576435,564777.4294734253,-10.753889448811504,-5.663615003625377,3468
fold_2020,H3_weight_hl730,913264.4674022819,690482.0804120583,556955.9674755592,-2.298500558620764,11.128577582705867,2737
fold_2021,H3_weight_hl730,818863.8656550193,622658.5249650433,490513.35172493994,-12.68599767577503,-8.639985757709145,3103
fold_2022,H3_weight_hl730,890554.8563259701,675215.2840072043,538348.9307969144,-10.815960410054293,-4.348751694639208,3468
fold_2020,H4_trend_plus_weight,874086.6960453795,657918.3692339623,540420.817028543,-2.701114824522155,8.720696703682496,2737
fold_2021,H4_trend_plus_weight,794418.5322900596,605591.0935580285,472068.596830078,-9.04917617970793,-1.7738150423463606,3103
fold_2022,H4_trend_plus_weight,881968.8042330911,665909.1828160194,540149.0535426792,-9.050587201372839,0.37250010188196736,3468
